瘻,瘘
療,疗
癄,憔
癅,瘤
癆,痨
癇,痫
癈,废
癉,瘅
癒,愈
癘,疠
癟,瘪
癡,痴
癢,痒
癤,疖
癥,症
癧,疬
癩,癞
癬,癣
癭,瘿
癮,瘾
癰,痈
癱,瘫
癲,癫
發,发
皁,皂
皐,皋
皚,皑
皜,皓
皟,𤾀
皰,疱
皷,鼓
皸,皲
皺,皱
盃,杯
盇,盍
盌,碗
盜,盗
盞,盏
盡,尽
監,监
盤,盘
盧,卢
盪,荡
眎,视
眞,真
眡,视
眥,眦
眾,众
睍,𪾢
睏,困
睜,睁
睞,睐
睠,眷
睪,睾
瞇,眯
瞖,翳
瞘,眍
瞜,䁖
瞞,瞒
瞤,𥆧
瞭,了
瞶,瞆
瞼,睑
矁,瞅
矇,蒙
矓,眬
矙,瞰
矚,瞩
矯,矫
砲,炮
硃,朱
硜,硁
硤,硖
硨,砗
硯,砚
碙,𥐻
碩,硕
碪,砧
碭,砀
碸,砜
確,确
碼,码
碽,䂵
磑,硙
磚,砖
磟,碌
磠,硵
磣,碜
磧,碛
磯,矶
磽,硗
磾,䃅
礄,硚
礆,碱
礎,础
礐,𬒈
礒,𥐟
礙,碍
礦,矿
礪,砺
礫,砾
礬,矾
礮,炮
礱,砻
祕,秘
祘,算
祿,禄
禍,祸
禎,祯
禕,祎
禡,祃
禦,御
禪,禅
禮,礼
禰,祢
禱,祷
禿,秃
秈,籼
秊,年
秌,秋
秖,只
稅,税
稈,秆
稉,粳
稏,䅉
稜,棱
稟,禀
稬,糯
稭,秸
種,种
稱,称
稾,稿
穀,谷
穌,稣
積,积
穎,颖
穠,秾
穡,穑
穢,秽
穤,糯
穨,颓
穩,稳
穫,获
穭,稆
穽,阱
窓,窗
窩,窝
窪,洼
窮,穷
窯,窑
窰,窑
窵,窎
窶,窭
窺,窥
窻,窗
竄,窜
竅,窍
竇,窦
竈,灶
竊,窃
竚,伫
竝,并
竢,俟
竪,竖
競,竞
筆,笔
筍,笋
筞,策
筧,笕
筩,筒
筯,箸
筴,䇲
箇,个
箋,笺
箏,筝
箒,帚
箠,棰
節,节
範,范
築,筑
篋,箧
篔,筼
篘,𥬠
篛,箬
篢,𬕂
篤,笃
篩,筛
篳,筚
簀,箦
簍,篓
簑,蓑
簒,篡
簞,箪
簡,简
簣,篑
簫,箫
簮,簪
簷,檐
簹,筜
簽,签
簾,帘
籃,篮
籋,𥬞
籌,筹
籐,藤
籔,䉤
籙,箓
籛,篯
籜,箨
籟,籁
籠,笼
籤,签
籩,笾
籪,簖
籬,篱
籮,箩
籲,吁
粃,秕
粧,妆
粵,粤
糉,粽
糝,糁
糞,粪
糧,粮
糰,团
糲,粝
糴,籴
糶,粜
糹,纟
糾,纠
紀,纪
紂,纣
紃,𬘓
約,约
紅,红
紆,纡
紇,纥
紈,纨
紉,纫
紋,纹
納,纳
紐,纽
紓,纾
純,纯
紕,纰
紖,纼
紗,纱
紘,纮
紙,纸
級,级
紛,纷
紜,纭
紝,纴
紞,𬘘
紡,纺
紥,扎
紬,䌷
紮,扎
細,细
紱,绂
紲,绁
紳,绅
紵,纻
紹,绍
紺,绀
紼,绋
紿,绐
絀,绌
終,终
絃,弦
組,组
絅,䌹
